id,category_1,category_2,category_3,color_type,life_style,fabric,weight_of_fabric,neck_style,form_type,sleeve_type,washing_style,fabric_type
1,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Medium,Bendy,Normal,Long,washless,Polyester
2,Thick Tops,MENSWEAR,Overtees,,,,,,,,,
3,Thick Tops,MENSWEAR,Overtees,Blue,Daily,versatile,Medium,,Normal,Long,washless,Polyester
4,Thick Tops,MENSWEAR,Overtees,Black,Daily,versatile,Medium,,Normal,Long,washless,Polyester
5,Thick Tops,MENSWEAR,Overtees,Black,Daily Sunday,versatile,Medium,Bendy,Normal,Long,washless,Polyester
6,Thick Tops,MENSWEAR,Overtees,Yellow,Daily,versatile,Heavy,Bendy,Normal,Long,washless,Polyester
7,Thick Tops,MENSWEAR,Overtees,Black,Urban Style,versatile,Medium,High,Fit,Long,washless,
8,Thick Tops,MENSWEAR,Overtees,Black,Urban Style,versatile,Heavy,High,Narrow,Long,washless,
9,Thick Tops,MENSWEAR,Overtees,Black,Urban Style,versatile,Heavy,,Fit,Long,washless,
10,Thick Tops,MENSWEAR,Overcoats,Gray,Daily Sunday,versatile,Heavy,Bendy,Normal,Long,washless,Polyester
11,Thick Tops,MENSWEAR,Overcoats,,,,,,,,,
12,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Heavy,Bendy,Normal,Long,washless,Twill
13,Thick Tops,MENSWEAR,Overtees,Grey,,versatile,,Bendy,Narrow,Long,washless,Snthetic
14,Thick Tops,MENSWEAR,Overtees,,,versatile,,Bendy,Very Large,Long,washless,Cotton
15,Thick Tops,MENSWEAR,Overtees,Green,,,,Bendy,Very Large,Long,washless,Polyester
16,Thick Tops,MENSWEAR,Overtees,Green,Daily Sunday,versatile,Light,Bendy,Normal,Long,washless,Polyester
17,Thick Tops,MENSWEAR,Overtees,Black,,versatile,,Bycyle,Normal,Long,washless,Polyester
18,Thick Tops,MENSWEAR,Overtees,Grey,,versatile,,High,Narrow,Long,washless,Polyester
19,Thick Tops,MENSWEAR,Overtees,Black,Daily,Square,,,Normal,Long,washless,Arc
20,Thick Tops,MENSWEAR,Overtees,Black,Daily Sunday,versatile,,,Wide,Long,washless,Arc
21,Thick Tops,MENSWEAR,Overtees,Blue,Urban Style,versatile,Medium,,Narrow,Long,Light,Tick
22,Thick Tops,MENSWEAR,Overtees,Green,Urban Style,versatile,Medium,,Narrow,Long,Light,Tick
23,Thick Tops,MENSWEAR,Overtees,Brown,Daily Sunday,versatile,Heavy,,Normal,Long,washless,Cotton
24,Thick Tops,MENSWEAR,Overtees,Black,Daily Sunday,versatile,,,Wide,Long,washless,Arc
25,Thick Tops,MENSWEAR,Overtees,Blue,Urban Style,versatile,Medium,,Narrow,Long,Light,Tick
26,Thick Tops,MENSWEAR,Overtees,Yellow,Daily,versatile,Light,Bendy,Narrow,Long,washless,Polyester
27,Thick Tops,MENSWEAR,Overtees,Blue,Daily,versatile,Medium,Bendy,Narrow,Long,Light,Polyester
28,Thick Tops,MENSWEAR,Overcoats,Green,Daily,versatile,Heavy,Bendy,Normal,Long,washless,Polyester
29,Thick Tops,MENSWEAR,Overcoats,,,,,,,,,
30,Thick Tops,MENSWEAR,Overtees,Gray,Daily,versatile,Medium,Bendy,Narrow,Long,washless,Polyester
31,Thick Tops,MENSWEAR,Overtees,Gray,Daily,versatile,Medium,Bendy,Fit,Long,washless,Polyester
32,Thick Tops,MENSWEAR,Overtees,Blue,Daily,versatile,Light,Bendy,Narrow,Long,washless,Polyester
33,Thick Tops,MENSWEAR,Overcoats,Red,Daily,Square,Medium,,Narrow,Long,Light,Wool
34,Thick Tops,MENSWEAR,Overtees,Black,Urban Style,versatile,Medium,High,Fit,Long,washless,
35,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Medium,,Narrow,Long,washless,Cotton
36,Thick Tops,MENSWEAR,Overtees,Brown,Daily,versatile,Medium,Bendy,Narrow,Long,Light,Polyester
37,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Medium,Bendy,Narrow,Long,Light,Polyester
38,Thick Tops,MENSWEAR,Overcoats,Grey,Daily,Nubbly,Heavy,Bendy,Fit,Long,Light,Wool
39,Thick Tops,MENSWEAR,Overtees,Black,Urban Style,versatile,Medium,High,Fit,Long,Light,
40,Thick Tops,MENSWEAR,Overtees,Black,Daily,versatile,Heavy,Bendy,Normal,Long,washless,Cotton
41,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Light,Bendy,Narrow,Long,Light,Cotton
42,Thick Tops,MENSWEAR,Overtees,Brown,Daily,versatile,Medium,,Narrow,Long,washless,Cotton
43,Thick Tops,MENSWEAR,Overtees,Blue,Daily,versatile,Medium,Bendy,Fit,Long,washless,Polyester
44,Thick Tops,MENSWEAR,Overtees,Black,Daily,versatile,Heavy,,Normal,Long,washless,Polyester
45,Thick Tops,MENSWEAR,Overtees,Green,Dark Quality,versatile,Light,Bendy,Normal,Long,washless,Polyester
46,Thick Tops,MENSWEAR,Overtees,Black,Dark Quality,versatile,Light,Bendy,Normal,Long,washless,Polyester
48,Thick Tops,MENSWEAR,Overtees,Black,Daily,versatile,Light,Bendy,Narrow,Long,Light,Polyester
49,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Light,Bendy,Narrow,Long,Light,Polyester
50,Thick Tops,MENSWEAR,Overcoats,Blue,Daily,versatile,Heavy,,Fit,Long,Light,Wool
51,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Light,Bendy,Narrow,Long,washless,Polyester
52,Thick Tops,MENSWEAR,Overcoats,Green,Daily,versatile,Heavy,Bendy,Fit,Long,washless,Wool
53,Thick Tops,MENSWEAR,Overtees,Brown,Urban Style,versatile,Medium,High,Fit,Long,washless,
54,Thick Tops,MENSWEAR,Overtees,Green,Daily,versatile,Medium,Bendy,Narrow,Long,washless,Polyester
55,T-shirts,MENSWEAR,Trendy Shirts,Black,Urban Style,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
56,T-shirts,MENSWEAR,Trendy Shirts,Blue,Urban Style,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
57,T-shirts,MENSWEAR,Trendy Shirts,Green,Urban Style,versatile,,Bycyle,Wide,Short,Other,Cotton
58,T-shirts,MENSWEAR,Long Sleeves,White,Urban Style,versatile,,Bycyle,Very Large,Long,washless,Cotton
59,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,High,Normal,Long,,Cotton
60,T-shirts,MENSWEAR,Long Sleeves,Grey,Business Based,versatile,Heavy,Bendy,Normal,Long,washless,Cotton
61,T-shirts,MENSWEAR,Long Sleeves,Grey,Designment,versatile,Heavy,Bycyle,Wide,Long,washless,Cotton
62,T-shirts,MENSWEAR,Long Sleeves,Red,Business Based,versatile,Heavy,Bycyle,Normal,Long,washless,Cotton
63,T-shirts,MENSWEAR,Long Sleeves,Green,Daily,versatile,,Bendy,Normal,Long,washless,Cotton
64,T-shirts,MENSWEAR,Long Sleeves,White,Daily,versatile,Medium,Bycyle,Wide,Long,washless,Cotton
65,T-shirts,MENSWEAR,Long Sleeves,Blue,Cool,versatile,,High,Normal,Long,washless,Cotton
66,T-shirts,MENSWEAR,Long Sleeves,Blue,Cool,versatile,Medium,Bendy,Normal,Long,washless,Cotton
67,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,,High,Normal,Long,washless,Cotton
68,T-shirts,MENSWEAR,Trendy Shirts,Black,Daily,versatile,,Bycyle,Normal,Long,washless,Cotton
69,T-shirts,MENSWEAR,Long Sleeves,White,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
70,T-shirts,MENSWEAR,Long Sleeves,Black,Business Based,versatile,Heavy,Bendy,Normal,Long,washless,Cotton
71,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
72,T-shirts,MENSWEAR,Long Sleeves,Green,Daily Sunday,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
73,T-shirts,MENSWEAR,Long Sleeves,Purple,Daily,,,Bycyle,Wide,Long,washless,Cotton
74,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,Medium,Bycyle,Wide,Long,washless,Cotton
